badge,badge_type,is_finish,media_id,index_show,follow,play,pub_real_time,pub_date,renewal_time,score,season_id,title,tags,count
会员专享,0,1,28223479,全26话,391.9万追番,4374.3万次播放,1349366400,1349366400,1575043203,9.8分,4334,JOJO的奇妙冒险,漫画改 战斗 奇幻 冒险,0
会员专享,0,1,4316482,全25话,357.7万追番,1.7亿次播放,1546358400,1546358400,1561557600,7.2分,26284,盾之勇者成名录,小说改 奇幻 魔法 架空,0
会员专享,0,1,28224080,全13话,359.3万追番,9274.3万次播放,1578240000,1578240000,1584894600,9.8分,29310,异度侵入 ID:INVADED,原创 科幻 推理,0
会员专享,0,1,28223748,全6话,359.3万追番,1816.4万次播放,1577721600,1577721600,1577779200,9.8分,29052,齐木楠雄的灾难 始动篇,漫画改 奇幻 日常 搞笑,0
会员专享,0,1,4312482,全24话,372.6万追番,1.4亿次播放,1546704000,1546704000,1561384800,9.4分,26146,多罗罗,热血 战斗 冒险,0
会员专享,0,1,2580,全12话,393.9万追番,1.4亿次播放,1436284800,1436284800,1443035640,9.2分,2580,干物妹！小埋,萌系 日常,0
限时免费,0,1,425,全24话,400.7万追番,7666.3万次播放,1254412800,1254412800,1456284928,9.6分,425,某科学的超电磁炮,校园 战斗 奇幻 漫画改,0
,,1,1699,全22话,404.8万追番,1.1亿次播放,1412784000,1412784000,1426787122,9.8分,1699,四月是你的谎言,少女 音乐 催泪 恋爱,0
会员专享,0,1,28222736,全13话,397.8万追番,1.2亿次播放,1569945600,1569945600,1577462403,9.7分,28625,这个勇者明明超强却过分慎重,小说改 穿越 奇幻 战斗,0
会员专享,0,1,130412,全24话,423.6万追番,1.5亿次播放,1538841600,1538841600,1553963400,8.3分,25510,刀剑神域 Alicization,小说改 热血 奇幻 战斗,0
,,1,2576,全13话,415.7万追番,2.5亿次播放,1436198400,1436198400,1443538800,9.6分,2576,OVERLORD,奇幻 战斗 小说改 架空,0
会员专享,0,1,28222061,全25话,402.2万追番,1.1亿次播放,1570291200,1570291200,1584806403,9.4分,28320,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,游戏改 奇幻 战斗 冒险,0
会员抢先,0,0,28228386,即将开播,421.2万追番,707.9万次播放,1595174400,1595174400,,,32998,我的青春恋爱物语果然有问题。完,校园 恋爱 小说改,0
会员专享,0,1,6446,全12话,424.3万追番,1.1亿次播放,1507392000,1507392000,1514129399,9.4分,6446,干物妹！小埋R,萌系 搞笑 日常 漫画改,0
,,1,1512,全13话,315.6万追番,9664.5万次播放,1420646400,1420646400,1427392200,9.4分,1512,路人女主的养成方法,恋爱 小说改,0
,,1,1650,全13话,292.3万追番,6591.3万次播放,1317398400,1317398400,1412915780,9.5分,1650,Fate/Zero 第一季,时泪 奇幻 战斗 热血,0
,,1,8932,全12话,313万追番,8043万次播放,1515340800,1515340800,1522074599,9.1分,21554,龙王的工作！,小说改 职场,0
会员专享,0,1,28224120,全12话,301.3万追番,5814.1万次播放,1578585600,1578585600,1585292400,9.5分,29342,地缚少年花子君,漫画改 搞笑 少女 奇幻,0
,,1,184,全12话,317.1万追番,4394.3万次播放,1396972800,1396972800,1491667288,9.8分,184,NO GAME NO LIFE 游戏人生,奇幻 智斗 架空 穿越,0
,,1,6311,全12话,303.8万追番,9075.2万次播放,1499097600,1499097600,1505830500,9.2分,6311,笨女孩,搞笑 校园 漫画改,0
,,1,5998,全22话,306.2万追番,7743.8万次播放,1491667200,1491667200,1505577600,8.6分,5998,Re：创造主,科幻 奇幻 原创 穿越,0
会员专享,0,1,28228738,全12话,311.7万追番,554.2万次播放,1588176000,1491408000,1588241100,9.8分,5971,路人女主的养成方法 ♭,小说改 恋爱 校园 社团,0
,,1,6440,全12话,257.6万追番,5108.7万次播放,1507392000,1507392000,1514127600,9.2分,6440,如果能写小说就好了,小说改 恋爱,0
付费观看,2,1,8772,全13话,260.4万追番,4015.1万次播放,1517068800,1517068800,1532869200,8.8分,21464,Fate/EXTRA Last Encore,奇幻 战斗 游戏改,0
会员专享,0,1,5989,全12话,258.6万追番,4800.9万次播放,1491408000,1491408000,1498759260,9.8分,5989,月色真美,恋爱 校园 原创 治愈,0
会员专享,0,1,5058,全12话,261.2万追番,8276.6万次播放,1468252800,1468252800,1474907400,9.7分,5058,路人超能100(灵能百分百),热血 奇幻 战斗,0
